<<<<<<< HEAD
id,name,description,type_tax_use,type,amount,child_depend,parent_id:id,account_collected_id:id,account_paid_id:id,base_sign,tax_sign,base_code_id:id,tax_code_id:id,ref_base_sign,ref_tax_sign,ref_base_code_id:id,ref_tax_code_id:id,chart_template_id:id,sequence
lu_2011_tax_AB-EC-0,Achat Biens Exonéré - Extracommunautaire,AB-EC-0,purchase,percent,0.0,0,,,,1.0,1.0,lu_tax_code_template_b_AB-EC-0,,-1.0,-1.0,lu_tax_code_template_b_AB-EC-0,,lu_2011_chart_1,101
lu_2011_tax_AB-EC-12,Achat Biens 12% - Extracommunautaire,AB-EC-12,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,102
lu_2011_tax_AB-EC-12-n,Achat Biens 12% - Extracommunautaire (-),AB-EC-12-n,purchase,percent,-0.12,0,lu_2011_tax_AB-EC-12,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-EC-12-n,1.0,1.0,,lu_tax_code_template_t_AB-EC-12-n,lu_2011_chart_1,1103
lu_2011_tax_AB-EC-12-p,Achat Biens 12% - Extracommunautaire (+),AB-EC-12-p,purchase,percent,0.12,0,lu_2011_tax_AB-EC-12,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-EC-12,lu_tax_code_template_t_AB-EC-12,-1.0,-1.0,lu_tax_code_template_b_AB-EC-12,lu_tax_code_template_t_AB-EC-12,lu_2011_chart_1,1104
lu_2015_tax_AB-EC-14,Achat Biens 14% - Extracommunautaire,AB-EC-14,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,105
lu_2015_tax_AB-EC-14-n,Achat Biens 14% - Extracommunautaire (-),AB-EC-14-n,purchase,percent,-0.14,0,lu_2015_tax_AB-EC-14,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-EC-14-n,1.0,1.0,,lu_tax_code_template_t_AB-EC-14-n,lu_2011_chart_1,1106
lu_2015_tax_AB-EC-14-p,Achat Biens 14% - Extracommunautaire (+),AB-EC-14-p,purchase,percent,0.14,0,lu_2015_tax_AB-EC-14,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-EC-14,lu_tax_code_template_t_AB-EC-14,-1.0,-1.0,lu_tax_code_template_b_AB-EC-14,lu_tax_code_template_t_AB-EC-14,lu_2011_chart_1,1107
lu_2011_tax_AB-EC-15,Achat Biens 15% - Extracommunautaire,AB-EC-15,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,108
lu_2011_tax_AB-EC-15-n,Achat Biens 15% - Extracommunautaire (-),AB-EC-15-n,purchase,percent,-0.15,0,lu_2011_tax_AB-EC-15,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-EC-15-n,1.0,1.0,,lu_tax_code_template_t_AB-EC-15-n,lu_2011_chart_1,1109
lu_2011_tax_AB-EC-15-p,Achat Biens 15% - Extracommunautaire (+),AB-EC-15-p,purchase,percent,0.15,0,lu_2011_tax_AB-EC-15,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-EC-15,lu_tax_code_template_t_AB-EC-15,-1.0,-1.0,lu_tax_code_template_b_AB-EC-15,lu_tax_code_template_t_AB-EC-15,lu_2011_chart_1,1110
lu_2015_tax_AB-EC-17,Achat Biens 17% - Extracommunautaire,AB-EC-17,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,111
lu_2015_tax_AB-EC-17-n,Achat Biens 17% - Extracommunautaire (-),AB-EC-17-n,purchase,percent,-0.17,0,lu_2015_tax_AB-EC-17,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-EC-17-n,1.0,1.0,,lu_tax_code_template_t_AB-EC-17-n,lu_2011_chart_1,1112
lu_2015_tax_AB-EC-17-p,Achat Biens 17% - Extracommunautaire (+),AB-EC-17-p,purchase,percent,0.17,0,lu_2015_tax_AB-EC-17,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-EC-17,lu_tax_code_template_t_AB-EC-17,-1.0,-1.0,lu_tax_code_template_b_AB-EC-17,lu_tax_code_template_t_AB-EC-17,lu_2011_chart_1,1113
lu_2011_tax_AB-EC-3,Achat Biens 3% - Extracommunautaire,AB-EC-3,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,114
lu_2011_tax_AB-EC-3-n,Achat Biens 3% - Extracommunautaire (-),AB-EC-3-n,purchase,percent,-0.03,0,lu_2011_tax_AB-EC-3,lu_2011_account_4614113,lu_2011_account_4614113,-1.0,-1.0,,lu_tax_code_template_t_AB-EC-3-n,1.0,1.0,,lu_tax_code_template_t_AB-EC-3-n,lu_2011_chart_1,1115
lu_2011_tax_AB-EC-3-p,Achat Biens 3% - Extracommunautaire (+),AB-EC-3-p,purchase,percent,0.03,0,lu_2011_tax_AB-EC-3,lu_2011_account_4216113,lu_2011_account_4216113,1.0,1.0,lu_tax_code_template_b_AB-EC-3,lu_tax_code_template_t_AB-EC-3,-1.0,-1.0,lu_tax_code_template_b_AB-EC-3,lu_tax_code_template_t_AB-EC-3,lu_2011_chart_1,1116
lu_2011_tax_AB-EC-6,Achat Biens 6% - Extracommunautaire,AB-EC-6,purchase,percent,1.0,1,,,,1.0,1.0,,,-1.0,-1.0,,,lu_2011_chart_1,117
